"4 Weeks CY Value","Manufacturer","Product","Region","Retailer","DDMMMYY","CY % Time On Promo","4 Weeks Store Count","4 Weeks CY Ave Price Quantity","4 Weeks Volume Growth % ","4 Weeks CY Volume","4 Weeks Value Growth % ","4 Weeks CY % Sales On Promo"
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Eastern Cape","Shoprite Hyper","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Eastern Cape","Shoprite Hyper","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Buying Partner","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","17 Aug 25",,,,"-1.0",,"-1.0",
"1936.89","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","26 Jul 26",,"10.0","84.21260869565218",,"8.66",,
"1773.95","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","2 Aug 26",,"10.0","84.47380952380952",,"7.92",,
"1106.93","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","9 Aug 26",,"8.0","85.14846153846155",,"4.9",,
"663.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers","16 Aug 26",,"6.0","82.99875",,"3.03",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Foods","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Foods","10 Aug 25",,,,"-1.0",,"-1.0",
"165.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Foods","16 Aug 26",,"1.0","82.995",,"0.75",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Hyper","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Hyper","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Hyper","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Hyper","17 Aug 25",,,,"-1.0",,"-1.0",
"414.98","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Hyper","26 Jul 26",,"1.0","82.99600000000001",,"1.88",,
"242.62","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Hyper","2 Aug 26",,"1.0","80.87333333333333",,"1.13",,
"165.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","Checkers Hyper","16 Aug 26",,"1.0","82.995",,"0.75",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Foods","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Foods","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Foods","17 Aug 25",,,,"-1.0",,"-1.0",
"88.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Foods","26 Jul 26",,"1.0","88.99",,"0.38",,
"267.97","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Foods","9 Aug 26",,"2.0","89.32333333333334",,"1.13",,
"88.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Foods","16 Aug 26",,"1.0","88.99",,"0.38",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Grocer","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Grocer","17 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Minimark","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Minimark","10 Aug 25",,,,"-1.0",,"-1.0",
"84.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Minimark","26 Jul 26",,"1.0","84.99",,"0.38",,
"84.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Minimark","2 Aug 26",,"1.0","84.99",,"0.38",,
"169.98","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Free State","OK Minimark","16 Aug 26",,"1.0","84.99",,"0.75",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers","17 Aug 25",,,,"-1.0",,"-1.0",
"14398.21","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers","26 Jul 26",,"88.0","89.9888125",,"60.29",,
"20225.88","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers","2 Aug 26","0.010309278350515464","97.0","89.89280000000001",,"84.65",,"0.004004275710129793"
"13408.37","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers","9 Aug 26",,"81.0","89.98906040268457",,"56.13",,
"9988.76","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers","16 Aug 26",,"69.0","89.98882882882883",,"41.9",,
"179.98","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers Foods","2 Aug 26",,"1.0","89.99",,"0.75",,
"179.98","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers Foods","9 Aug 26",,"1.0","89.99",,"0.75",,
"89.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers Foods","16 Aug 26",,"1.0","89.99",,"0.38",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers Hyper","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers Hyper","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers Hyper","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers Hyper","17 Aug 25",,,,"-1.0",,"-1.0",
"5018.23","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers Hyper","26 Jul 26",,"16.0","89.61125",,"21.04",,
"5742.68","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers Hyper","2 Aug 26",,"19.0","89.729375",,"24.05",,
"3239.58","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers Hyper","9 Aug 26",,"16.0","89.98833333333333",,"13.55",,
"3779.49","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","Checkers Hyper","16 Aug 26",,"14.0","89.98785714285714",,"15.79",,
"254.97","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","OK Foods","26 Jul 26",,"1.0","84.99",,"1.13",,
"84.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","OK Foods","2 Aug 26",,"1.0","84.99",,"0.38",,
"89.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Gauteng","OK Foods","9 Aug 26",,"1.0","89.99",,"0.38",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers","17 Aug 25",,,,"-1.0",,"-1.0",
"1349.85","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers","26 Jul 26",,"11.0","89.99",,"5.66",,
"1979.75","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers","2 Aug 26",,"12.0","89.98863636363636",,"8.29",,
"1164.35","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers","9 Aug 26",,"9.0","89.5653846153846",,"4.91",,
"1619.81","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers","16 Aug 26",,"12.0","89.98944444444444",,"6.79",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers Hyper","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers Hyper","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers Hyper","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers Hyper","17 Aug 25",,,,"-1.0",,"-1.0",
"539.93","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers Hyper","26 Jul 26",,"2.0","89.98833333333333",,"2.25",,
"539.94","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers Hyper","2 Aug 26",,"4.0","89.99000000000001",,"2.26",,
"359.96","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers Hyper","9 Aug 26",,"3.0","89.99",,"1.51",,
"539.94","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Kwazulu-natal","Checkers Hyper","16 Aug 26",,"4.0","89.99000000000001",,"2.26",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Limpopo","Checkers","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Limpopo","Checkers","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Limpopo","Checkers","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Limpopo","Checkers","17 Aug 25",,,,"-1.0",,"-1.0",
"1259.85","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Limpopo","Checkers","26 Jul 26",,"8.0","89.98928571428571",,"5.28",,
"1619.8","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Limpopo","Checkers","2 Aug 26",,"10.0","89.98888888888888",,"6.78",,
"1259.86","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Limpopo","Checkers","9 Aug 26",,"9.0","89.99",,"5.27",,
"1709.79","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Limpopo","Checkers","16 Aug 26",,"11.0","89.98894736842105",,"7.16",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers","17 Aug 25",,,,"-1.0",,"-1.0",
"899.89","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers","26 Jul 26",,"6.0","89.989",,"3.77",,
"989.89","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers","2 Aug 26",,"8.0","89.99",,"4.15",,
"899.89","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers","9 Aug 26",,"6.0","89.989",,"3.77",,
"809.9","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers","16 Aug 26",,"7.0","89.98888888888888",,"3.41",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers Hyper","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers Hyper","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers Hyper","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers Hyper","17 Aug 25",,,,"-1.0",,"-1.0",
"629.91","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers Hyper","26 Jul 26",,"2.0","89.98714285714286",,"2.63",,
"449.95","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers Hyper","2 Aug 26",,"3.0","89.99",,"1.88",,
"449.95","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers Hyper","9 Aug 26",,"3.0","89.99",,"1.88",,
"539.93","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Mpumalanga","Checkers Hyper","16 Aug 26",,"2.0","89.98833333333333",,"2.25",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","Checkers","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","Checkers","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","Checkers","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","Checkers","17 Aug 25",,,,"-1.0",,"-1.0",
"1722.86","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","Checkers","26 Jul 26",,"10.0","86.143",,"7.51",,
"1030.93","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","Checkers","2 Aug 26",,"8.0","85.91083333333334",,"4.52",,
"1009.94","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","Checkers","9 Aug 26",,"7.0","84.16166666666668",,"4.51",,
"421.98","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","Checkers","16 Aug 26",,"4.0","84.396",,"1.89",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","Checkers Hyper","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","Checkers Hyper","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","Checkers Hyper","10 Aug 25",,,,"-1.0",,"-1.0",
"442.95","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","Checkers Hyper","26 Jul 26",,"2.0","88.59",,"1.88",,
"165.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","Checkers Hyper","2 Aug 26",,"1.0","82.995",,"0.75",,
"442.95","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","Checkers Hyper","9 Aug 26",,"2.0","88.59",,"1.88",,
"89.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","Checkers Hyper","16 Aug 26",,"1.0","89.99",,"0.38",,
"160.98","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","OK Foods","16 Aug 26",,"2.0","80.49",,"0.76",,
"179.98","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","President Hyper","26 Jul 26",,"1.0","89.99",,"0.75",,
"89.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","President Hyper","2 Aug 26",,"1.0","89.99",,"0.38",,
"89.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","North West","President Hyper","16 Aug 26",,"1.0","89.99",,"0.38",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Northern Cape","Checkers","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Northern Cape","Checkers","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Northern Cape","Checkers","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Northern Cape","Checkers","17 Aug 25",,,,"-1.0",,"-1.0",
"746.98","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Northern Cape","Checkers","26 Jul 26",,"5.0","82.99777777777778",,"3.39",,
"331.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Northern Cape","Checkers","2 Aug 26",,"3.0","82.9975",,"1.51",,
"1078.92","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Northern Cape","Checkers","9 Aug 26",,"4.0","82.99384615384616",,"4.88",,
"497.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Northern Cape","Checkers","16 Aug 26",,"5.0","82.99833333333333",,"2.27",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers","17 Aug 25",,,,"-1.0",,"-1.0",
"4769.4","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers","26 Jul 26",,"29.0","89.98867924528301",,"19.97",,
"4319.51","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers","2 Aug 26",,"30.0","89.98979166666668",,"18.1",,
"5259.35","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers","9 Aug 26","0.03333333333333333","30.0","89.14152542372882",,"22.2",,"0.041822658693564795"
"5039.35","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers","16 Aug 26",,"30.0","89.98839285714287",,"21.11",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers Hyper","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers Hyper","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers Hyper","10 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers Hyper","17 Aug 25",,,,"-1.0",,"-1.0",
"1077.67","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers Hyper","26 Jul 26",,"6.0","89.80583333333334",,"4.51",,
"1439.82","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers Hyper","2 Aug 26",,"6.0","89.98875",,"6.02",,
"1169.86","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers Hyper","9 Aug 26",,"7.0","89.98923076923076",,"4.89",,
"629.92","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","Checkers Hyper","16 Aug 26",,"4.0","89.98857142857142",,"2.64",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","OK Foods","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","OK Foods","3 Aug 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","OK Foods","17 Aug 25",,,,"-1.0",,"-1.0",
"169.98","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","OK Foods","26 Jul 26",,"2.0","84.99",,"0.76",,
"89.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","OK Foods","9 Aug 26",,"1.0","89.99",,"0.38",,
"79.99","Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","OK Foods","16 Aug 26",,"1.0","79.99",,"0.38",,
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","OK Minimark","27 Jul 25",,,,"-1.0",,"-1.0",
,"Acdoco","Dr Beckmann Surface Cleaner Oven Active Gel 375ml","Western Cape","OK Minimark","3 Aug 25",,,,"-1.0",,"-1.0",
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","Game","27 Jul 25",,,,"-1.0",,"-1.0",
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","Game","3 Aug 25",,,,"-1.0",,"-1.0",
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","Game","10 Aug 25",,,,"-1.0",,"-1.0",
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","Game","17 Aug 25",,,,"-1.0",,"-1.0",
"124.95","Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","Game","26 Jul 26",,"2.0","24.990000000000002",,"3.75",,
"24.99","Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","Game","16 Aug 26",,"1.0","24.99",,"0.75",,
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","PnP Corporate","27 Jul 25",,,,"-1.0",,"-1.0",
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","PnP Corporate","3 Aug 25",,,,"-1.0",,"-1.0",
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","PnP Corporate","17 Aug 25",,,,"-1.0",,"-1.0",
"62.39","Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","PnP Corporate","9 Aug 26",,"2.0","12.478",,"3.75",,
"24.99","Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","PnP Corporate","16 Aug 26",,"1.0","24.99",,"0.75",,
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","PnP Family","27 Jul 25",,,,"-1.0",,"-1.0",
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","PnP Family","10 Aug 25",,,,"-1.0",,"-1.0",
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","PnP Family","17 Aug 25",,,,"-1.0",,"-1.0",
"124.95","Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","PnP Family","26 Jul 26",,"4.0","24.990000000000002",,"3.75",,
"98.71","Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","PnP Family","2 Aug 26","0.3333333333333333","3.0","24.6775",,"3.0",,"0.24050248201803262"
"74.97","Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","PnP Family","9 Aug 26",,"3.0","24.99",,"2.25",,
"74.97","Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","PnP Family","16 Aug 26",,"3.0","24.99",,"2.25",,
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","SuperSpar","27 Jul 25",,,,"-1.0",,"-1.0",
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","SuperSpar","3 Aug 25",,,,"-1.0",,"-1.0",
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","SuperSpar","17 Aug 25",,,,"-1.0",,"-1.0",
"50.68","Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","SuperSpar","2 Aug 26",,"1.0","25.34",,"1.5",,
"25.99","Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Eastern Cape","SuperSpar","16 Aug 26",,"1.0","25.99",,"0.75",,
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Free State","Game","3 Aug 25",,,,"-1.0",,"-1.0",
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Free State","Game","10 Aug 25",,,,"-1.0",,"-1.0",
"49.98","Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Free State","Game","2 Aug 26",,"1.0","24.99",,"1.5",,
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Free State","KwikSpar","27 Jul 25",,,,"-1.0",,"-1.0",
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Free State","KwikSpar","3 Aug 25",,,,"-1.0",,"-1.0",
"24.99","Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Free State","KwikSpar","26 Jul 26","1.0","1.0","24.99",,"0.75",,"1.0"
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Free State","PnP Corporate","27 Jul 25",,,,"-1.0",,"-1.0",
,"Adcock Ingram","Plush All Purpose Cleaner Cream Lavender 750ml","Free State","PnP Corporate","3 Aug 25",,,,"-1.0",,"-1.0",
