date,manufacturer,product,sales_value,sales_volume,current_price,category,subcategory,_source_row
2024-08-01,MG Pasta,MG Pasta Capelli D Angelo Pasta 500g,23280.09,266.5,87.35493433395872,Pasta,Macaroni,404
2024-08-01,MG Pasta,MG Pasta Fusilli 500g,10873.81,181.5,59.910798898071626,Pasta,Macaroni,405
2024-08-01,MG Pasta,MG Pasta Fusilli Tricolor 500g,18116.53,311.0,58.252508038585205,Pasta,Macaroni,406
2024-08-01,MG Pasta,MG Pasta Macaroni 3Colour 500g,13252.36,221.0,59.965429864253394,Pasta,Macaroni,407
2024-08-01,MG Pasta,MG Pasta Macaroni Large 500g,46862.3,782.0,59.926214833759595,Pasta,Macaroni,408
2024-08-01,MG Pasta,MG Pasta Macaroni Whole Wheat 500g,29850.99,506.0,58.99405138339921,Pasta,Macaroni,409
2024-08-01,MG Pasta,MG Pasta Penne Rigate 500g,66599.96,1123.5,59.2790031152648,Pasta,Macaroni,410
2024-08-01,MG Pasta,MG Pasta Rigatoni 500g,116264.71,1992.5,58.35117189460477,Pasta,Macaroni,411
2024-08-01,MG Pasta,MG Pasta Shells 500g,53702.05,911.5,58.916127262753704,Pasta,Macaroni,412
2024-08-01,Misko,Misko Bows 500g,749.54,12.5,59.9632,Pasta,Macaroni,413
2024-08-01,Misko,Misko Chilopitaki 500g,199.95,2.0,99.975,Pasta,Macaroni,414
2024-08-01,Misko,Misko Chilopittes 500g,149.95,1.5,99.96666666666665,Pasta,Macaroni,415
2024-08-01,Misko,Misko Corali 500g,149.92,2.5,59.967999999999996,Pasta,Macaroni,416
2024-08-01,Misko,Misko Extrafino No.12 500g,559.7,10.0,55.970000000000006,Pasta,Macaroni,417
2024-08-01,Misko,Misko Penne Rigate 500g,2896.37,52.5,55.168952380952376,Pasta,Macaroni,418
2024-08-01,Misko,Misko Rigatoni 500g,359.88,6.0,59.98,Pasta,Macaroni,419
2024-08-01,Misko,Misko Risoni Large 500g,569.79,9.5,59.9778947368421,Pasta,Macaroni,420
